proper_star_name	parsecs_from_earth	light_years_from_earth	constellation_full_name	apparent_magnitude
Sol	0.0	0.0		-26.7
	219.7802	716.826309112		9.1
	47.9616	156.42963609599997	Cetus	9.27
	442.4779	1443.1682195239998	Andromeda	6.61
	134.2282	437.79332799199994	Phoenix	8.06
	257.732	840.60838192	Phoenix	8.55
	55.0358	179.502563848		12.31
	57.8704	188.747781824	Pegasus	9.64
	200.8032	654.931684992	Pegasus	9.05
	420.1681	1370.4034682359998	Andromeda	8.59
	92.3361	301.159730316	Phoenix	8.59
	239.2344	780.277349664	Andromeda	7.34
	307.6923	1003.556897988	Sculptor	8.43
	100000.0	326156.0	Cetus	8.8
	205.7613	671.102825628		7.25
	523.5602	1707.6230059119998	Cassiopeia	8.6
	136.4256	444.960279936	Phoenix	8.15
	751.8797	2452.3007543319995	Phoenix	11.71
	44.8229	146.192577724		11.03
	249.3766	813.3567434959999	Andromeda	6.53
	96.6184	315.12670870399995	Pegasus	8.51
	189.3939	617.719568484		7.55
	318.4713	1038.713253228	Phoenix	8.69
	86.2813	281.411636828	Pegasus	7.57
	105.4852	344.046308912	Cetus	9.05
	81.367	265.38335252	Phoenix	6.28
	100.8065	328.78644814	Cetus	9.13
	107.6426	351.082798456	Phoenix	9.32
	198.0198	645.853458888	Phoenix	8.83
	411.5226	1342.205651256	Phoenix	9.14
	244.4988	797.4475061279999	Andromeda	8.26
	306.7485	1000.4786376599999		7.63
	330.033	1076.42243148	Cassiopeia	9.09
	113.7656	371.053330336	Cetus	8.1
	74.6269	243.40011196400002	Pegasus	6.43
	145.3488	474.063832128	Cetus	9.07
	184.5018	601.763690808	Pegasus	7.68
	381.6794	1244.870263864	Phoenix	10.44
	42.3012	137.967901872		8.65
	92.5069	301.71680476399996	Cetus	7.46
	364.9635	1190.3503530599999	Cassiopeia	8.7
	100000.0	326156.0	Cepheus	10.61
	163.3987	532.934663972	Pegasus	8.2
	136.2398	444.354282088	Cassiopeia	6.18
	335.5705	1094.4833199799998		7.91
	62.3053	203.212474268	Tucana	9.59
	833.3333	2717.9665579479997	Sculptor	8.57
	40.7498	132.907917688	Phoenix	10.78
	671.1409	2188.966313804	Phoenix	7.31
	375.9398	1226.150214088	Pegasus	9.53
	59.4177	193.794393612	Phoenix	6.49
	100000.0	326156.0		8.94
	209.6436	683.7651800159999		8.56
	100000.0	326156.0	Sculptor	10.96
	50.2008	163.732921248	Pegasus	10.57
	64.9351	211.789724756	Tucana	7.4
	253.8071	827.8070850759999		8.12
	29.8686	97.418231016	Tucana	8.27
	38.8048	126.564183488	Cassiopeia	7.05
	100000.0	326156.0	Cassiopeia	9.09
	172.117	561.3699225199999	Tucana	8.34
	178.8909	583.4634038039999	Cassiopeia	8.86
	308.642	1006.65440152	Phoenix	8.27
	187.9699	613.075107044	Andromeda	6.36
	243.9024	795.5023117439999	Sculptor	8.08
	54.7046	178.422335176	Phoenix	11.0
	127.2265	414.95686334	Tucana	8.55
	150.3759	490.460020404	Pegasus	7.83
	31.5856	103.018329536	Pegasus	8.79
	182.8154	596.263396024	Pegasus	8.33
	168.3502	549.0842783119999	Andromeda	10.42
	136.9863	446.78903662799996	Andromeda	8.26
	87.8735	286.60469266	Cetus	8.97
	280.112	913.60209472	Cepheus	6.9
	44.5236	145.216392816	Andromeda	9.93
	641.0256	2090.743455936	Phoenix	7.42
